# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
bu she ji 	不設計	c=1 d=1 t=23822
bu sheng 	不升	c=1 d=1 t=23318
bu shi 	不是	c=123 d=3.29571 t=26383
bu shi fa le ma 	不是發了嗎	c=1 d=1 t=7887
bu shi he 	不適合	c=1 d=1 t=10992
bu shi ma 	不是嗎	c=1 d=1 t=1478
bu shi shuo 	不是說	c=3 d=1 t=26369
bu shi wo 	不是我	c=0 d=0.1 t=16450
bu shi yi ge 	不是一個	c=1 d=1 t=12927
bu shi you ge 	不是有個	c=1 d=1 t=22709
bu shi you ren 	不是有人	c=1 d=1 t=3232
bu shou qian 	不收錢	c=1 d=1 t=8909
bu shu 	不熟	c=1 d=1 t=4148
bu shu 	部署	c=9 d=1.0001 t=17572
bu shu fu 	不舒服	c=1 d=1 t=2517
bu shuo 	不說	c=3 d=1.00258 t=18629
bu si 	不死	c=0 d=0.1 t=16433
bu si ren 	不死人	c=1 d=1 t=16434
bu suan 	不算	c=3 d=0.1 t=23715
bu suan tiao xiu 	不算調休	c=1 d=1 t=23716
bu tai 	不太	c=2 d=0.1 t=24372
bu tai hao 	不太好	c=1 d=0.1 t=23996
bu tai hao kan 	不太好看	c=1 d=1 t=23997
bu tai qing chu 	不太清楚	c=1 d=1 t=23285
bu tai xing 	不泰興	c=1 d=1 t=1473
bu tai yi yang 	不太一樣	c=1 d=1 t=24373
bu tan 	不談	c=0 d=0.1 t=5707
bu tong 	不同	c=2 d=1 t=20140
bu tong de 	不同的	c=1 d=1 t=6115
bu tong hui da 	不同回答	c=2 d=1.90032 t=7378
bu tong yu yan 	不同語言	c=1 d=1 t=9554
bu tou 	不投	c=1 d=1 t=24787
bu wan 	不完	c=0 d=0.1 t=25201
bu wan 	不玩	c=4 d=1.85168 t=10321
bu wan le 	不玩了	c=1 d=1 t=2473
bu wei yi 	不唯一	c=1 d=1 t=4998
bu xia 	不下	c=0 d=0.1 t=3013
bu xia lai 	不下來	c=0 d=0.1 t=24881
bu xia qu 	不下去	c=0 d=0.1 t=18571
bu xian liang 	不限量	c=1 d=1 t=12652
bu xiang 	不像	c=1 d=0.683861 t=26693
bu xiang 	不想	c=3 d=0.1 t=25161
bu xiang dong 	不想動	c=1 d=1 t=2623
bu xiang gan le 	不想乾了	c=1 d=1 t=2368
bu xiang ma 	不香嗎	c=1 d=1 t=25017
bu xiang mai 	不想買	c=1 d=1 t=1192
bu xiang me 	不香麼	c=3 d=1 t=24794
bu xiang qu 	不想去	c=1 d=1 t=12536
bu xiang wan 	不想玩	c=1 d=1 t=18546
bu xiang xiang 	不想想	c=0 d=0.1 t=13561
bu xiang xie 	不想寫	c=1 d=1 t=22784
bu xiang yong 	不想用	c=1 d=1 t=25162
bu xiao 	不小	c=0 d=0.1 t=11398
bu xiao de 	不曉得	c=1 d=1 t=3171
bu xie 	不懈	c=1 d=1 t=15943
bu xin 	不信	c=0 d=0.1 t=24275
bu xin yao 	不信謠	c=1 d=1 t=24276
bu xing 	不行	c=6 d=1 t=25785
bu xing de 	不行的	c=1 d=1 t=19733
bu xing le 	不行了	c=1 d=1.09465 t=2520
bu xing ma 	不行嗎	c=1 d=1 t=2617
bu xu yao 	不需要	c=3 d=0.1 t=13017
bu yao 	不要	c=19 d=2.02303 t=25009
bu yao a 	不要啊	c=1 d=1 t=25245
bu yao jing huang 	不要驚慌	c=1 d=1 t=19194
bu yao rang ai 	不要讓愛	c=1 d=1 t=6975
bu yao yan guo qi shi 	不要言過其實	c=1 d=1 t=5845
bu yao zhe yang 	不要這樣	c=0 d=0.1 t=7628
bu yao zhe yang a 	不要這樣啊	c=1 d=1 t=7629
bu ye 	不也	c=1 d=1 t=2407
bu ye shi 	不也是	c=1 d=1 t=18528
bu yi 	不宜	c=1 d=1 t=20227
bu yi 	不移	c=1 d=1 t=15743
bu yi ding 	不一定	c=5 d=1 t=25820
bu yi ding dui 	不一定對	c=1 d=1 t=1042
bu yi yang 	不一樣	c=8 d=1.09608 t=22847
bu yi yang bu yi yang 	不一樣不一樣	c=1 d=1 t=22840
bu ying gai 	不應該	c=1 d=1 t=1975
bu ying xiang 	不影響	c=1 d=1 t=8553
bu yong 	不用	c=12 d=0.609571 t=26693
bu yong shi le 	不用試了	c=1 d=1 t=23967
bu yun xu 	不允許	c=0 d=0.1 t=8931
bu zai 	不在	c=2 d=1.85214 t=18213
bu zao 	不躁	c=1 d=1 t=14455
bu zen me 	不怎麼	c=3 d=1.89583 t=7382
bu zhang yang 	不張揚	c=1 d=1 t=5673
bu zhe teng 	不折騰	c=1 d=1 t=3607
bu zhi 	不值	c=3 d=1.15531 t=13616
bu zhi 	不止	c=1 d=1 t=5584
bu zhi 	不知	c=1 d=1 t=13617
bu zhi chi 	不支持	c=2 d=1.03887 t=9118
bu zhi dao 	不知道	c=15 d=1.00005 t=25996
bu zhi dao a 	不知道啊	c=1 d=1 t=12729
bu zhi dao de 	不知道的	c=1 d=1 t=8008
bu zhi dao re 	不知道惹	c=1 d=1 t=1493
bu zhi yu 	不至於	c=0 d=0.1 t=25644
bu zhou 	步驟	c=2 d=1 t=21993
bu zhu 	不住	c=0 d=0.1 t=22338
bu zhu xiao 	不住校	c=1 d=1 t=22339
bu zhui 	不追	c=1 d=1 t=25150
bu zhun 	不準	c=3 d=1 t=25679
bu zou 	不走	c=1 d=1 t=15752
bu zou 	步驟	c=2 d=1.99005 t=15751
bu zuo 	不做	c=1 d=1 t=12332
ca bian 	擦邊	c=1 d=1 t=4102
ca han 	擦汗	c=1 d=1 t=13718
ca sai 	擦塞	c=1 d=1 t=4907
cai 	彩	c=0 d=0.1 t=20745
cai 	才	c=16 d=1.00216 t=26474
cai bi 	彩筆	c=4 d=1.93239 t=19634
cai dan 	菜單	c=2 d=1.94176 t=23518
cai dan lan 	菜單欄	c=1 d=1 t=12045
cai dao 	猜到	c=1 d=1 t=14850
cai dui 	纔對	c=1 d=1 t=696
cai fa xian 	纔發現	c=4 d=0.286505 t=26693
cai fu 	財富	c=1 d=1 t=5831
cai gei 	纔給	c=0 d=0.1 t=4153
cai gei ma 	纔給嗎	c=1 d=1 t=4154
cai hong 	彩虹	c=2 d=0.100025 t=26022
cai hong liu hao 	彩虹六號	c=1 d=1 t=26023
cai hui 	纔會	c=2 d=1 t=23338
cai kan 	纔看	c=0 d=0.1 t=16161
cai kan jian 	纔看間	c=1 d=1 t=16162
cai li 	財力	c=1 d=1 t=8328
cai liao 	材料	c=3 d=1.8825 t=25731
cai neng 	才能	c=5 d=1 t=19855
cai pan 	裁判	c=1 d=1 t=6710
cai qu 	採取	c=3 d=1.157 t=14390
cai qu de 	採取的	c=1 d=1 t=14422
cai shi 	纔是	c=7 d=1.00012 t=24937
cai ting chu lai 	才聽出來	c=1 d=1 t=17017
cai xiang 	猜想	c=3 d=1.96561 t=5809
cai yong 	採用	c=2 d=1 t=13826
cai you 	纔有	c=3 d=1 t=19667
cai you ren chuan 	纔有人傳	c=1 d=1 t=5317
cai zheng 	財政	c=2 d=1 t=20519
cai zhi dao 	纔知道	c=1 d=1 t=23581
can 	慘	c=2 d=1 t=19518
can 	餐	c=1 d=1 t=17896
can guan 	參觀	c=2 d=1.97045 t=25386
can jia 	參加	c=1 d=1 t=17657
can kao 	參考	c=2 d=1 t=9515
can kao yi xia 	參考一下	c=1 d=1 t=6047
can shu 	參數	c=1 d=1 t=7894
can yu 	參與	c=2 d=1 t=21853
can yu 	殘餘	c=1 d=0.1 t=22052
can yu shi li 	參與實力	c=1 d=1 t=14549
can yu shi li 	殘餘勢力	c=1 d=1 t=22053
can yu zhi 	參與制	c=1 d=1 t=21344
cang 	倉	c=2 d=1.29229 t=18631
cang 	藏	c=1 d=1 t=18602
cang kong 	蒼空	c=2 d=1.99501 t=7025
cao 	艹	c=2 d=1.7827 t=2601
cao 	草	c=159 d=0.849287 t=26693
cao an 	草案	c=1 d=1 t=14350
cao dian 	槽點	c=1 d=1 t=10807
cao gao zhi 	草稿紙	c=1 d=1 t=4794
cao zuo 	操作	c=14 d=1 t=23633
cao zuo xi tong 	操作系統	c=6 d=1.31504 t=25787
ce 	憡	c=-1 d=1 t=390
ce 	測	c=2 d=0.319243 t=26693
ce 	𣌧	c=-1 d=0.980199 t=389
ce lve 	策略	c=4 d=1.00203 t=23296
ce mian 	側面	c=1 d=1 t=18960
ce se ji 	測色計	c=1 d=0.904837 t=26693
ce shi 	測試	c=14 d=3.68705 t=26693
ce suo 	廁所	c=1 d=1 t=23608
ce zhi 	廁紙	c=1 d=1 t=17805
ceng ci 	層次	c=0 d=0.1 t=4730
ceng ci bian li 	層次遍歷	c=1 d=1 t=4731
ceng ji he shi 	曾幾何時	c=1 d=1 t=18990
ceng lou 	層樓	c=1 d=1 t=12703
ceng shi 	曾是	c=1 d=1 t=6325
cha 	叉	c=1 d=0.100561 t=5382
cha 	差	c=2 d=1 t=9403
cha 	插	c=3 d=1.94176 t=17633
cha 	查	c=1 d=1 t=3059
cha bie 	差別	c=3 d=1.63015 t=24358
cha bu dao 	查不到	c=1 d=1 t=26608
cha bu duo 	差不多	c=7 d=1.00001 t=24371
cha bu duo ba 	差不多吧	c=1 d=1 t=10199
cha bu duo le 	差不多了	c=1 d=1 t=3600
cha cha 	插插	c=1 d=1 t=9094
cha cha 	查查	c=1 d=1 t=13751
cha chu 	查出	c=1 d=1 t=1300
cha de 	差的	c=1 d=1 t=5868
cha dian 	差點	c=3 d=1.00436 t=19980
cha e 	差額	c=1 d=1 t=5156
cha feng 	查封	c=1 d=1 t=24461
cha jian 	插件	c=7 d=1.00003 t=25594
cha kan 	查看	c=15 d=3.75107 t=19168
cha ping 	差評	c=1 d=1 t=17768
cha ru 	插入	c=4 d=1.88692 t=26564
cha ru mo shi 	插入模式	c=1 d=1 t=3618
cha shang qu 	插上去	c=1 d=1 t=26648
cha xie 	差些	c=1 d=1 t=5867
cha xun 	查詢	c=3 d=1 t=17546
cha yao 	叉腰	c=1 d=1 t=8778
cha yi 	差異	c=1 d=1 t=9559
cha yi xia 	插一下	c=1 d=1 t=9063
cha zhao 	查找	c=19 d=9.86673 t=5535
cha zhao biao 	查找表	c=5 d=2.98293 t=5496
cha zhao chang du 	查找長度	c=2 d=1.68673 t=5490
cha zhao fang fa 	查找方法	c=1 d=1 t=5380
cha zhao gai lv 	查找概率	c=1 d=1 t=5461
cha zhe 	插着	c=2 d=1 t=11367
chai 	拆	c=1 d=1 t=6892
chai chu 	拆除	c=1 d=1 t=26247
chai ji 	拆機	c=1 d=1 t=26468
chan chu 	產出	c=2 d=1 t=9040
chan fei 	產費	c=1 d=1 t=6863
chan ming 	闡明	c=5 d=0.894534 t=21970
chan ming le 	闡明了	c=1 d=1 t=21971
chan pin 	產品	c=1 d=1 t=26373
chan sheng le 	產生了	c=2 d=1.00006 t=15965
chan shu 	闡述	c=1 d=1 t=20613
chan shu le 	闡述了	c=1 d=1 t=14966
chang 	場	c=1 d=1 t=5598
chang 	長	c=2 d=0.1 t=26056
chang an 	長按	c=1 d=1 t=1921
chang du 	長度	c=7 d=1 t=8804
chang jing 	場景	c=2 d=1.96079 t=1469
chang ju zi 	長句子	c=1 d=1 t=26057
chang kou 	敞口	c=1 d=1 t=11612
chang le 	唱了	c=0 d=0.1 t=2379
chang le yi xia wu 	唱了一下午	c=1 d=1 t=2380
chang ning 	長寧	c=3 d=2.95064 t=10331
chang pei 	長佩	c=1 d=1 t=17823
chang qi 	長期	c=7 d=1.06856 t=20669
chang qi cun zai 	長期存在	c=1 d=1 t=14137
chang shang 	場上	c=1 d=1 t=16343
chang shang 	廠商	c=1 d=1 t=16342
chang sheng 	昌盛	c=0 d=0.1 t=21664
chang shi pin 	長視頻	c=1 d=1 t=9042
chang wu wei yuan 	常務委員	c=1 d=1 t=14057
chang yong 	常用	c=1 d=1 t=4631
chang yong de 	常用的	c=0 d=0.1 t=3793
chang zhu 	常駐	c=1 d=1 t=3799
chang zi 	廠子	c=1 d=1 t=18174
chao 	抄	c=1 d=0.0467666 t=26693
chao 	炒	c=0 d=0.1 t=19656
chao 	超	c=10 d=1.66416 t=26088
chao bu xia 	抄不下	c=1 d=1 t=3014
chao chu lai de 	炒出來的	c=1 d=1 t=19657
chao da 	超大	c=1 d=1 t=4795
chao dao 	抄道	c=1 d=1 t=2186
chao de 	超得	c=1 d=1 t=13722
chao feng 	嘲諷	c=2 d=1.97045 t=24940
chao guo 	超過	c=1 d=1 t=8794
chao ji 	超級	c=1 d=1 t=19837
chao liang 	超量	c=1 d=1 t=6594
chao liu 	潮流	c=0 d=0.1 t=21691
chao neng li 	超能力	c=0 d=0.1 t=24121
chao rong he 	超融合	c=1 d=1 t=6696
chao shi kong 	超時空	c=1 d=1 t=19581
chao wan 	抄完	c=1 d=0.512714 t=3221
chao wan le 	抄完了	c=1 d=1 t=3222
chao xing 	超星	c=2 d=1.99005 t=10263
chao yang 	朝陽	c=1 d=1 t=578
chao yi fen 	抄一份	c=1 d=0.470011 t=26693
chao yi tao 	抄一套	c=1 d=1 t=8387
chao zhe 	朝着	c=0 d=0.1 t=15552
chao zhe shen me yang 	朝着什麼樣	c=1 d=1 t=15553
che 	車	c=0 d=0.1 t=6252
che di 	徹底	c=4 d=1 t=20384
che hui 	撤回	c=0 d=0.1 t=7889
che hui le 	撤回了	c=2 d=1 t=16485
che wan 	車萬	c=1 d=1 t=8012
chen 	陳	c=1 d=1.02774 t=6027
chen dan yang 	陳丹陽	c=1 d=1 t=6028
chen du xiu 	陳獨秀	c=2 d=1 t=13901
chen le 	沉了	c=1 d=1 t=24647
chen lian 	晨練	c=1 d=1 t=4574
chen nian 	陳年	c=0 d=0.1 t=7460
chen nian lao gua 	陳年老瓜	c=1 d=1 t=7461
chen shu 	陳述	c=1 d=1 t=6105
chen yun 	陳雲	c=1 d=1 t=14690
cheng 	城	c=1 d=1 t=5394
cheng 	成	c=10 d=1.00002 t=21778
cheng 	稱	c=1 d=1 t=5175
cheng dian 	成電	c=1 d=1 t=19134
cheng du 	成都	c=2 d=1 t=22163
cheng du shi 	成都市	c=2 d=1 t=5991
cheng fen 	成分	c=1 d=1 t=13752
cheng ge 	誠哥	c=1 d=1 t=17777
cheng gong 	成功	c=3 d=2.89382 t=5473
cheng guo 	成果	c=1 d=0.1 t=21549
cheng hua qu 	成華區	c=1 d=1 t=992
cheng ji 	成績	c=2 d=1.90484 t=23591
cheng jiu 	成就	c=2 d=1.16284 t=21807
cheng li 	成立	c=3 d=1 t=22042
cheng li le 	成立了	c=1 d=1 t=14010
cheng li yi lai 	成立以來	c=1 d=1 t=14820
cheng ming 	成名	c=0 d=0.1 t=23190
cheng nuo 	承諾	c=0 d=0.1 t=21114
cheng nuo shu 	承諾書	c=2 d=1 t=26033
cheng qiang 	城牆	c=1 d=1 t=1437
cheng ren 	承認	c=1 d=1 t=9921
cheng shi 	城市	c=4 d=2.86013 t=14408
cheng shi 	誠實	c=1 d=1 t=5729
cheng shou 	承受	c=1 d=1 t=1697
cheng shu 	成熟	c=1 d=1 t=14119
cheng suan 	乘算	c=3 d=1.96079 t=19613
cheng wei 	成爲	c=8 d=1.00055 t=23742
cheng wei 	稱爲	c=3 d=1.00029 t=6981
cheng wei le 	稱爲了	c=1 d=1 t=5641
cheng xing 	成型	c=1 d=1 t=19873
cheng xu 	程序	c=0 d=0.100113 t=21849
cheng yu 	成語	c=1 d=1 t=5817
cheng yu 	稱譽	c=1 d=1 t=5818
cheng yuan 	成員	c=5 d=2.71787 t=19446
chi 	喫	c=18 d=0.165299 t=26693
chi 	池	c=1 d=1 t=1318
chi chi 	吃吃	c=1 d=1 t=11484
chi dao 	喫到	c=0 d=0.1 t=11499
chi dao le 	喫到了	c=1 d=1 t=11500
chi de 	喫得	c=1 d=1 t=23153
chi du 	尺度	c=0 d=0.1 t=20420
chi er 	喫二	c=1 d=1 t=1038
chi fan 	喫飯	c=1 d=1.01013 t=13601
chi gua 	喫瓜	c=2 d=1 t=23953
chi guo 	喫過	c=1 d=1 t=3421
chi hui 	喫灰	c=2 d=0.238115 t=26693
chi le 	喫了	c=2 d=1 t=25371
chi le sha 	喫了啥	c=1 d=1 t=6339
chi man le 	喫滿了	c=1 d=1 t=971
chi mo 	喫饃	c=2 d=1 t=22376
chi qiong 	喫窮	c=1 d=1 t=12718
chi wan fan 	喫完飯	c=1 d=1 t=26186
chi xu 	持續	c=1 d=1 t=15711
chi xue 	赤雪	c=2 d=0.38868 t=26693
chi yi ci 	喫一次	c=1 d=1 t=5886
chi ze 	池澤	c=31 d=1.67437 t=26507
chi ze lao si 	池澤勞斯	c=20 d=0.308819 t=26693
chi zi 	池子	c=2 d=1 t=25619
chong 	充	c=5 d=0.302704 t=26693
chong 	蟲	c=3 d=1.75201 t=23166
chong 	衝	c=6 d=1.00148 t=26175
chong 	重	c=0 d=0.1 t=10762
chong 	銃	c=1 d=0.418224 t=26167
chong bu chong dian 	充不充電	c=1 d=1 t=2256
chong bu dong 	衝不動	c=1 d=1 t=13741
chong chu lai 	衝出來	c=0 d=0.1 t=22304
chong chu lai le 	衝出來了	c=1 d=1 t=22305
chong da 	重搭	c=1 d=1 t=13223
chong dian 	充電	c=7 d=0.57747 t=26693
chong dian dian chi 	充電電池	c=1 d=1 t=2478
chong dian kou 	充電口	c=1 d=1 t=26307
chong dian xian 	充電線	c=1 d=1 t=2500
chong ding xiang 	重定向	c=1 d=1 t=24037
chong fen 	充分	c=1 d=1 t=20390
chong fu 	重複	c=2 d=1.00005 t=6905
chong fu de 	重複的	c=1 d=1 t=2073
chong gao 	崇高	c=0 d=0.1 t=20101
chong gao mu biao 	崇高目標	c=1 d=1 t=20102
chong jin 	重進	c=4 d=2.90296 t=5608
chong jin le yi ci 	重進了一次	c=1 d=1 t=832
chong kai 	重開	c=2 d=1 t=12103
chong le 	衝了	c=0 d=0.1 t=7997
chong le ge 	衝了個	c=1 d=1 t=7998
chong lian 	重連	c=1 d=1 t=2252
chong lv 	銃率	c=1 d=1 t=25874
chong man 	充滿	c=1 d=1 t=20994
chong po 	衝破	c=2 d=1.15259 t=14736
chong qi 	重啓	c=7 d=2.11556 t=26616
chong qi zhi hou 	重啓之後	c=1 d=1 t=12562
chong qian 	充錢	c=1 d=1 t=4351
chong qing 	重慶	c=1 d=1 t=14332
chong quan 	衝拳	c=1 d=1 t=10716
chong tu 	衝突	c=2 d=1 t=16894
chong wu 	寵物	c=2 d=1.97045 t=9438
chong xia 	重下	c=2 d=1.75578 t=10839
chong xia ke hu duan 	重下客戶端	c=1 d=1 t=10763
chong xin 	重新	c=6 d=1.58232 t=17584
chong xin kai shi 	重新開始	c=1 d=1 t=17461
chong xiu 	重修	c=1 d=1 t=12135
chong ya suo dao 	重壓縮到	c=1 d=1 t=3342
chong ye ji 	衝業績	c=1 d=1 t=23951
chong yi fa 	銃一發	c=1 d=1 t=26168
chong zai 	重載	c=1 d=1 t=1019
chong zhao 	崇朝	c=1 d=1 t=5320
chong zhi 	重置	c=4 d=1 t=26267
chong zhuang 	重裝	c=6 d=1.5752 t=26628
chong zhuang xi tong 	重裝系統	c=5 d=2.10082 t=26591
chou 	丑	c=0 d=0.1 t=22227
chou 	抽	c=13 d=0.811111 t=26693
chou 	臭	c=1 d=1 t=13605
chou bu dao 	抽不到	c=2 d=1.06788 t=18745
chou dao 	抽到	c=2 d=1.09501 t=13709
chou de 	抽的	c=0 d=0.1 t=13122
chou de qi lai 	抽的起來	c=1 d=1 t=13123
chou hen 	仇恨	c=1 d=1 t=16838
chou ka 	抽卡	c=1 d=1 t=26027
chou kuan 	籌款	c=1 d=1 t=13972
chou mi 	稠密	c=1 d=0.259353 t=26693
chou mi tu 	稠密圖	c=2 d=0.733447 t=26693
chou xiang 	抽象	c=3 d=0.100012 t=20332
chou xiang de 	抽象的	c=1 d=1 t=20333
chou yan 	抽菸	c=1 d=1 t=8023
chu 	出	c=11 d=0.100007 t=26474
chu 	初	c=1 d=1 t=25294
chu 	廚	c=1 d=1 t=19544
chu chai 	出差	c=0 d=0.1 t=18683
chu chang 	出場	c=1 d=1 t=18243
chu cun 	儲存	c=2 d=1 t=24583
chu dao 	出刀	c=1 d=1 t=4199
chu de 	出的	c=1 d=0.1 t=21816
chu du 	出度	c=1 d=1 t=5107
chu dui 	出隊	c=1 d=1 t=4648
chu fa 	出發	c=2 d=1 t=20074
chu fa 	觸發	c=3 d=1 t=20073
chu fa dian 	出發點	c=1 d=1 t=20077
chu fa le 	觸發了	c=1 d=1 t=6674
chu fei 	除非	c=7 d=1.2119 t=25993
chu fei shi 	除非是	c=1 d=1 t=22612
chu guai 	出怪	c=1 d=1 t=6911
chu huo 	出貨	c=1 d=1 t=12824
chu ji jie duan 	初級階段	c=4 d=1.13555 t=15643
chu kai 	除開	c=2 d=1 t=17442
chu lai 	出來	c=6 d=0.10086 t=25631
chu lai le 	出來了	c=0 d=0.1 t=1603
chu le 	出了	c=7 d=0.101354 t=24943
chu le 	除了	c=10 d=1.00002 t=25543
chu le dian 	出了點	c=1 d=1 t=24944
chu le ge 	出了個	c=1 d=1 t=12373
chu li 	出力	c=2 d=1.91851 t=17409
chu li 	處理	c=2 d=1 t=15443
chu li neng li 	處理能力	c=1 d=1 t=11175
chu qi 	初期	c=2 d=1 t=22040
chu qian 	出錢	c=2 d=1.88692 t=17391
chu qu 	出去	c=1 d=1 t=23669
chu qu le 	出去了	c=1 d=1 t=3126
chu quan 	出圈	c=2 d=1 t=19638
chu sheng 	出生	c=1 d=1 t=5419
chu shi 	初始	c=2 d=1.05123 t=16704
chu shi 	廚師	c=1 d=1 t=18398
chu shi wei zhi 	初始位置	c=1 d=1 t=16705
chu tao 	出逃	c=2 d=1.90484 t=19304
chu wai 	除外	c=2 d=1.98511 t=7543
chu wen ti 	出問題	c=0 d=0.1 t=16455
chu wen ti le 	出問題了	c=1 d=1 t=16456
chu xi 	齣戲	c=1 d=1 t=9952
chu xian 	出現	c=8 d=1 t=21510
chu xian guo 	出現過	c=0 d=0.1 t=4875
chu xiang zi 	出箱子	c=1 d=1 t=467
chu xiao 	出校	c=2 d=2.06639 t=3187
chu xiao ma 	出校碼	c=1 d=1 t=3103
chu xiao ma 	出校馬	c=1 d=1 t=2986
chu xiao men 	出校門	c=1 d=1 t=3085
chu xin 	初心	c=3 d=1.00011 t=21893
chu xu ka 	儲蓄卡	c=2 d=1.9802 t=2425
chu xue zhe 	初學者	c=1 d=1 t=12957
chu yi ge 	出一個	c=1 d=1 t=18919
chu yin 	初音	c=1 d=0.1 t=17010
chu yin wei lai 	初音未來	c=1 d=1 t=17011
chu yu 	出於	c=1 d=1 t=23825
chu yu hao qi 	出於好奇	c=1 d=1 t=5822
chu zhong 	初中	c=4 d=1 t=12547
chuai 	踹	c=0 d=0.1 t=20280
chuai men 	踹門	c=1 d=1 t=13790
chuan 	串	c=7 d=6.00798 t=4706
chuan 	傳	c=2 d=1 t=11096
chuan 	穿	c=1 d=1 t=10804
chuan bo 	傳播	c=1 d=0.1 t=21684
chuan bo le 	傳播了	c=1 d=1 t=21685
chuan dao 	傳到	c=1 d=1 t=13596
chuan gei 	傳給	c=1 d=1 t=4060
chuan guo 	傳過	c=2 d=1.01448 t=4080
chuan guo qu 	傳過去	c=1 d=1 t=17533
chuan lai 	傳來	c=0 d=0.1 t=23046
chuan lai le 	傳來了	c=1 d=1 t=23047
chuan le 	傳了	c=2 d=0.1 t=22897
chuan le shang qu 	傳了上去	c=1 d=1 t=22898
chuan ma 	川麻	c=1 d=1 t=17157
chuan shang 	穿上	c=1 d=0.1 t=16884
chuan shu 	傳輸	c=0 d=0.1 t=12985
chuan shu xie yi 	傳輸協議	c=1 d=1 t=12986
chuan shuo 	傳說	c=3 d=1.08311 t=16368
chuan tong 	傳統	c=3 d=1.00008 t=22964
chuan tong wen hua 	傳統文化	c=1 d=1 t=20304
chuan tong yi neng 	傳統異能	c=2 d=1 t=5235
chuan xia qu 	傳下去	c=1 d=1 t=2966
chuan yao 	傳謠	c=1 d=1 t=17166
chuan yue 	穿越	c=1 d=1 t=8688
chuan zhang 	船長	c=9 d=1.0014 t=2299
chuan zhe 	穿着	c=1 d=1 t=7994
chuang chu 	創出	c=0 d=0.1 t=7089
chuang jian 	創建	c=6 d=1 t=26561
chuang kou 	窗口	c=16 d=1 t=23457
chuang kou ming 	窗口名	c=1 d=1 t=11810
chuang shang 	牀上	c=1 d=1 t=24184
chuang xin 	創新	c=2 d=0.1 t=20903
chuang zao 	創造	c=2 d=1 t=20981
chuang zao le 	創造了	c=1 d=1 t=711
chuang zao xing 	創造性	c=1 d=1 t=21091
chui 	吹	c=1 d=1 t=22449
chui 	鎚	c=2 d=1.13068 t=25992
chui zi 	錘子	c=4 d=1 t=23599
chui zi ben 	錘子本	c=1 d=1 t=13016
chun 	春	c=1 d=1 t=12243
chun 	純	c=4 d=1 t=25893
chun bao le 	蠢爆了	c=1 d=1 t=24149
chun chun 	純純	c=1 d=1 t=2565
chun hua 	純化	c=1 d=1 t=24338
chun jie 	春節	c=2 d=1 t=23712
chun jie 	純潔	c=1 d=1 t=19186
chun jie xing 	純潔性	c=1 d=1 t=8156
chun lan 	純藍	c=1 d=1.06079 t=10115
chun lan hui he 	純藍回合	c=1 d=1 t=10116
chun lian 	蠢臉	c=1 d=1 t=3858
chun shu 	春樹	c=2 d=1.95123 t=12256
chun zhen 	純真	c=1 d=0.98692 t=22470
ci 	次	c=9 d=1.99005 t=26113
ci 	詞	c=2 d=0.0826959 t=26693
ci ba 	糍粑	c=2 d=1.63849 t=24323
ci bei 	慈悲	c=1 d=1 t=1430
ci chu 	此處	c=1 d=1 t=17161
ci hui 	詞彙	c=3 d=1.98511 t=17819
ci ji 	刺激	c=2 d=1 t=21268
ci ke 	刺客	c=2 d=1 t=24119
ci ke xin tiao 	刺客信條	c=6 d=3.72165 t=24111
ci ku 	詞庫	c=0 d=0.0169483 t=26693
ci le 	次了	c=1 d=1 t=24999
ci pan 	磁盤	c=2 d=1.01882 t=26547
ci pan gong ju 	磁盤工具	c=1 d=1 t=26214
ci pin 	詞頻	c=3 d=1.85642 t=17844
ci shu 	次數	c=2 d=1.54879 t=16423
ci tie 	磁貼	c=9 d=3.24974 t=23993
ci tie 	磁鐵	c=1 d=1 t=23385
cong 	從	c=32 d=0.226502 t=26693
cong er 	從而	c=2 d=1 t=20593
cong ju 	從句	c=3 d=2.99875 t=26294
cong lai 	從來	c=1 d=0.263158 t=26693
cong lai dou 	從來都	c=0 d=0.1 t=5707
cong lai dou bu tan 	從來都不談	c=1 d=1 t=5708
cong ming cai zhi 	聰明才智	c=1 d=1 t=20440
cou 	湊	c=2 d=1 t=10177
cou gou 	湊夠	c=1 d=1 t=24497
cou jin 	湊近	c=0 d=0.1 t=490
cou jin dian 	湊近點	c=1 d=1 t=491
cu 	粗	c=1 d=1 t=20226
cu de 	粗的	c=1 d=1 t=400
cu jin 	促進	c=0 d=0.1 t=20430
cu jin le 	促進了	c=1 d=0.10194 t=21680
cu si 	猝死	c=1 d=1 t=4593
cun 	存	c=2 d=1 t=22864
cun 	寸	c=3 d=2.48343 t=11257
cun shang 	村上	c=2 d=1.99005 t=12242
cun shu 	村樹	c=1 d=1 t=12241
cun zai 	存在	c=11 d=0.17552 t=26693
cun zai de 	存在的	c=1 d=1 t=19190
cuo 	錯	c=1 d=0.1 t=19988
cuo guo le 	錯過了	c=1 d=1 t=18371
cuo ji dao 	錯幾道	c=1 d=1 t=19989
cuo le 	錯了	c=0 d=0.1 t=22841
cuo luan 	錯亂	c=4 d=1.03439 t=23083
